HRDLST	ecDNA	CHR	WGDearly	WGDlate
AKRWHE	0.34466275074957	0.0329427229302422	0.567794328570072	0	0.054600197750116
AM2BNI	0.132020719037723	0.0347525434629193	0.818932990833151	0.014293746666207	0
ASQG2I	0	0.0399715468810456	0.868314339112251	0.0917141140067039	0
AZ9WDX	0.390602737225257	0.0482478841569173	0.542660409763011	0	0.0184889688548148
BFJDM7	0.180326360943976	0.00480847379475369	0.785203640677412	0.0296615245838576	0
BIP85D	0.122562345528166	0.00282726054524075	0.862500117585394	0.0121102763411992	0
BQD5LG	0.0323716605530963	0.00158087170385089	0.847915777167788	0.0998524218617408	0.0182792687135244
BTBJVV	0.100523784769997	0.0761293864315517	0.685593667054679	0.0690058672380403	0.0687472945057326
BXJ0Q2	0	0.00441464838850543	0.83694618020726	0.0887708791067726	0.0698682922974617
CCZQL1	0.0204335828309919	0.0271095266209472	0.942036053447627	0.0104208371004339	0
CEKUDV	0.377433749010841	0.0249578302489131	0.569402308009638	0	0.0282061127306075
D5F2Y2	0.101160539184234	0.0881276266381897	0.800078687613113	0.0106331465644635	0
D5ZZTN	0.188694641972731	0.0227206979993603	0.740990174140679	0	0.0475944858872299
D63LZW	0	0.0772445399352421	0.802057261110784	0.0799889547656164	0.0407092441883579
DHTI8K	0.255083057143054	0	0.620506774734976	0.0751031131490373	0.0493070549729324
DIFQYP	0.157994572533881	0.0532427062049547	0.775816618811503	0	0.0129461024496618
DILSUL	0.00221017928065437	0.0680283888225228	0.794522598069891	0.0782923739754923	0.0569464598514391
DJKMYH	0.152890591582753	0.0245861425041575	0.793548959857852	0	0.0289743060552372
DKZLLW	0	0.0203740759812776	0.87813823292057	0.101487691098152	0
DNA5O0	0.280658046347203	0.0364542527206981	0.648188608826195	0	0.0346990921059044
DTKF7N	0.345552159603932	0.0180038493741774	0.589493267402859	0	0.0469507236190313
E0CU4F	0.0973856185718723	0.0194146884317756	0.883199692996352	0	0
E9GUAF	0.0457630047374095	0.014411542492135	0.50188446003701	0.0139330573174797	0.424007935415966
ECEBKN	0	0.0064665303133085	0.830244005290758	0.0795721526508305	0.0837173117451033
